id,lon,lat,time
368,147.72,-37.65,2017-01-16
369,146.5,-37.79,2017-01-16
370,143.98666666666665,-36.71333333333333,2017-01-16
371,144.3200025,-36.749995,2017-01-16
372,144.60001,-36.89,2017-01-16
373,145,-36.93999,2017-01-16
374,145.83333833333333,-36.92999666666667,2017-01-16
375,148.56,-36.98,2017-01-16
376,145.895996,-37.032000000000004,2017-01-16
377,145.87,-37.07999,2017-01-16
378,144.996665,-37.14333333333333,2017-01-16
379,145.49,-37.15,2017-01-16
380,144.89999,-37.2,2017-01-16
381,145.82001,-37.36,2017-01-16
382,147.53,-37.730000000000004,2017-01-16
383,146.36,-37.78,2017-01-16
384,143.63,-36.589995,2017-01-16
385,143.610005,-36.65,2017-01-16
386,144.85000000000002,-36.84,2017-01-16
387,145.87714,-36.84,2017-01-16
388,145.729995,-37.07999,2017-01-16
389,145.79999750000002,-37.104997499999996,2017-01-16
390,145.78,-37.34,2017-01-16
391,145.76001,-37.42,2017-01-16
392,146.29999,-37.48,2017-01-16
393,146.43,-37.57999,2017-01-16
394,144.14999999999998,-36.589995,2017-01-16
395,145.610005,-36.7799975,2017-01-16
396,146.009995,-37.07999,2017-01-16
397,146,-37.25999,2017-01-16
398,146,-37.34,2017-01-16
399,146.44,-37.71,2017-01-16
400,144.79999,-36.83,2017-01-16
401,146.009995,-36.9,2017-01-16
402,145.79999,-37.010000000000005,2017-01-16
403,146.55333666666667,-38.11333333333333,2017-01-16
404,145.66,-36.85,2017-01-16
405,145.72,-36.88,2017-01-16
406,145.419998,-37.328,2017-01-18
407,146.60001,-37.64,2017-01-18
408,146.04001,-37.230000000000004,2017-01-18
409,146.14,-37.264992500000005,2017-01-18
410,141.03999,-34.74,2017-01-21
411,141.229995,-34.8,2017-01-21
412,141.67999,-35.62,2017-01-21
413,140.98,-34.16,2017-01-21
414,141.3250075,-34.875,2017-01-21
415,141.25332333333333,-34.913333333333334,2017-01-21
416,141.45999,-34.96,2017-01-21
417,141.915998,-35.463998,2017-01-21
418,141.88,-35.579996666666666,2017-01-21
419,141.16799799999998,-34.599998,2017-01-21
420,141.78,-35.32,2017-01-21
421,141.98,-35.449995,2017-01-21
422,142.07,-35.449995,2017-01-21
423,141.769995,-35.449995,2017-01-21
424,142.08,-35.52,2017-01-21
425,141.5149975,-34.9199975,2017-01-21
426,142.12,-35.56,2017-01-21
427,141.31334,-34.61333333333333,2017-01-21
428,141.25999199999998,-34.672,2017-01-21
429,141.67999,-34.92,2017-01-21
430,141.7,-35.04,2017-01-21
431,141.73999,-35.3,2017-01-21
432,141.72,-35.36,2017-01-21
433,142.03999,-35.54,2017-01-21
434,141.14,-34.49333333333333,2017-01-21
435,141.73999,-34.8,2017-01-21
436,141.8,-34.88,2017-01-21
437,141.39999,-35.010000000000005,2017-01-21
438,141.52999499999999,-34.69,2017-01-21
439,141.449995,-34.81,2017-01-21
440,141.852,-34.844,2017-01-21
441,141.25999,-34.84,2017-01-21
442,141.44,-34.870000000000005,2017-01-21
443,141.88,-34.92,2017-01-21
