#obstime,dettime,sat,algo,okm,sampl,line,viewzenang,viewazang,pixwid,pixlen,t07,t14,t07_t14,meant07,meant14,meandt,sdt07,sdt14,sddt,ref3,ref4,fire_idx,fire,test1_6,sunglint,firepower,freq,fQC,pixel,state,lon,lat,date,year,month,day,week,hour,hour_id
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03404,04876,44.13,-12.08,71.113,99.077,303.3,284.64,18.66,300.3266,296.3949,3.9317,1.9881,2.2896,2.2521,0.085,0.189,0.1015,1,'001000',0,107.622,0.33,1,"'MULTIPOLYGON((( 148.574020  -37.867371, 147.783600  -38.003654, 147.551010  -37.130390, 148.332703  -36.995663, 148.574020  -37.867371)))'",Victoria,148.06,-37.5,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03392,04877,44.11,-11.69,71.089,99.01,303.22,283.93,19.29,299.4146,295.5682,3.8465,1.2906,2.4916,2.4279,0.098,0.175,0.1193,1,'001000',0,110.816,0.33,1,"'MULTIPOLYGON((( 148.330795  -37.889870, 147.539261  -38.021824, 147.314255  -37.147911, 148.097015  -37.017471, 148.330795  -37.889870)))'",Victoria,147.82001,-37.52,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03405,04877,44.16,-12.11,71.15,99.177,304.31,284.84,19.47,300.4842,296.4649,4.0193,1.9001,2.3279,2.2166,0.093,0.196,0.1205,1,'001000',0,112.998,0.33,1,"'MULTIPOLYGON((( 148.594727  -37.887558, 147.803772  -38.024242, 147.570313  -37.150192, 148.352539  -37.015072, 148.594727  -37.887558)))'",Victoria,148.08,-37.52,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03398,04878,44.15,-11.88,71.138,99.144,302.51,281.46,21.05,300.0925,296.1978,3.8947,1.2865,2.2192,2.0852,0.096,0.171,0.1359,1,'001000',0,118.998,0.33,1,"'MULTIPOLYGON((( 148.452896  -37.909065, 147.661179  -38.043198, 147.432159  -37.168709, 148.215103  -37.036110, 148.452896  -37.909065)))'",Victoria,147.94,-37.54,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03400,04878,44.16,-11.94,71.15,99.177,301.38,282.09,19.29,300.4342,296.5041,3.9301,1.6646,1.9515,1.8556,0.093,0.166,0.117,1,'001000',0,108.747,0.33,1,"'MULTIPOLYGON((( 148.493484  -37.908775, 147.701797  -38.043591, 147.471558  -37.168995, 148.254471  -37.035721, 148.493484  -37.908775)))'",Victoria,147.98,-37.54,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03401,04878,44.16,-11.97,71.15,99.177,301.38,282.09,19.29,300.6168,296.4935,4.1233,1.791,2.1821,2.1049,0.093,0.166,0.1118,1,'001000',0,108.747,0.33,1,"'MULTIPOLYGON((( 148.513733  -37.908562, 147.722137  -38.043705, 147.491318  -37.169205, 148.274139  -37.035606, 148.513733  -37.908562)))'",Victoria,148,-37.54,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03398,04879,44.18,-11.87,71.174,99.245,302.51,281.46,21.05,300.2413,296.3465,3.8948,1.3787,2.2209,2.0241,0.096,0.171,0.1352,1,'001000',0,118.998,0.5,1,"'MULTIPOLYGON((( 148.453278  -37.929543, 147.660904  -38.063633, 147.431793  -37.188221, 148.215363  -37.055668, 148.453278  -37.929543)))'",Victoria,147.94,-37.56,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03400,04879,44.18,-11.94,71.174,99.245,301.38,282.09,19.29,300.6163,296.674,3.9423,1.7796,1.9768,1.7768,0.093,0.166,0.1158,1,'001000',0,108.747,0.33,1,"'MULTIPOLYGON((( 148.493835  -37.929043, 147.701675  -38.063904, 147.471207  -37.188717, 148.254593  -37.055401, 148.493835  -37.929043)))'",Victoria,147.98,-37.56,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03401,04879,44.19,-11.97,71.186,99.278,301.38,282.09,19.29,300.8099,296.6656,4.1444,1.9025,2.2146,2.0302,0.093,0.166,0.1103,1,'001000',0,108.747,0.33,1,"'MULTIPOLYGON((( 148.514191  -37.928963, 147.721985  -38.064178, 147.490860  -37.188789, 148.274292  -37.055126, 148.514191  -37.928963)))'",Victoria,148,-37.56,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03402,04881,44.23,-11.99,71.234,99.413,304.14,280.52,23.62,301.0567,296.8231,4.2335,2.065,2.2198,1.8989,0.106,0.197,0.1052,1,'001000',0,134.045,0.33,1,"'MULTIPOLYGON((( 148.535065  -37.969364, 147.741928  -38.104893, 147.509995  -37.228382, 148.294312  -37.094414, 148.535065  -37.969364)))'",Victoria,148.01999,-37.6,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03408,04881,44.26,-12.18,71.27,99.515,303.19,282.3,20.89,300.6342,296.5188,4.1154,1.8646,2.3718,2.0196,0.098,0.194,0.0822,1,'001000',0,119.015,0.5,1,"'MULTIPOLYGON((( 148.656937  -37.968414, 147.863983  -38.106106, 147.628143  -37.229317, 148.412292  -37.093212, 148.656937  -37.968414)))'",Victoria,148.14,-37.6,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03410,04882,44.29,-12.24,71.307,99.616,302.95,283.58,19.37,300.6143,296.3507,4.2636,1.9727,2.4785,2.0773,0.096,0.198,0.1063,1,'001000',0,110.924,0.33,1,"'MULTIPOLYGON((( 148.697891  -37.988388, 147.904495  -38.126812, 147.667206  -37.249329, 148.451782  -37.112499, 148.697891  -37.988388)))'",Victoria,148.17999,-37.62,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03411,04882,44.29,-12.27,71.307,99.616,302.95,283.58,19.37,300.6583,296.46,4.1983,2.0565,2.3744,1.9862,0.096,0.198,0.1073,1,'001000',0,110.924,0.33,1,"'MULTIPOLYGON((( 148.718140  -37.988174, 147.924835  -38.126926, 147.686966  -37.249542, 148.471451  -37.112389, 148.718140  -37.988174)))'",Victoria,148.2,-37.62,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:40:00+00','2018-01-19 23:10:53+00','Himawari-8','kn3','NC_H08_20180119_2240_R21_FLDK.06001_06001.nc',03405,04884,44.31,-12.07,71.331,99.684,303.33,285.84,17.49,300.75,296.1256,4.6244,2.0479,2.5365,2.1441,0.08,0.164,0.0963,1,'001000',0,101.496,0.33,1,"'MULTIPOLYGON((( 148.597015  -38.029881, 147.802399  -38.166477, 147.568115  -37.287846, 148.353867  -37.152824, 148.597015  -38.029881)))'",Victoria,148.08,-37.66,2018-01-19 22:40:00,2018,1,19,3,22,331
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03388,04863,43.79,-11.63,70.708,97.949,307.51,287.82,19.69,300.8484,296.3924,4.456,3.5767,4.5232,2.7631,0.116,0.23,0.0737,1,'001000',0,117.909,0.33,1,"'MULTIPOLYGON((( 148.244995  -37.606014, 147.460556  -37.736591, 147.239853  -36.871826, 148.015778  -36.742714, 148.244995  -37.606014)))'",Victoria,147.73999,-37.24,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03392,04864,43.82,-11.76,70.743,98.048,303.85,285.72,18.13,300.1671,296.1549,4.0122,3.4912,4.3136,2.5718,0.099,0.201,0.0861,1,'001000',0,105.431,0.33,1,"'MULTIPOLYGON((( 148.326508  -37.625492, 147.541840  -37.757557, 147.318390  -36.892330, 148.094543  -36.761745, 148.326508  -37.625492)))'",Victoria,147.82001,-37.25999,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03385,04865,43.82,-11.53,70.743,98.048,307.05,282.57,24.48,299.6627,294.6759,4.9868,4.87,8.3943,4.5288,0.138,0.241,0.1702,1,'001000',0,142.504,0.5,1,"'MULTIPOLYGON((( 148.184784  -37.647118, 147.399231  -37.776665, 147.180099  -36.910728, 147.957092  -36.782635, 148.184784  -37.647118)))'",Victoria,147.67999,-37.28,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03386,04865,43.82,-11.56,70.743,98.048,305.79,284.58,21.21,300.1571,295.5119,4.6452,4.0947,6.2714,3.5379,0.104,0.196,0.154,1,'001000',0,123.887,0.5,1,"'MULTIPOLYGON((( 148.205032  -37.646904, 147.419571  -37.776779, 147.199860  -36.910934, 147.976761  -36.782520, 148.205032  -37.646904)))'",Victoria,147.7,-37.28,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03385,04866,43.84,-11.52,70.767,98.113,307.05,282.57,24.48,299.5729,294.7972,4.7757,4.6179,8.0022,4.3989,0.138,0.241,0.1752,1,'001000',0,142.504,0.5,1,"'MULTIPOLYGON((( 148.185043  -37.667450, 147.398987  -37.796928, 147.179840  -36.930386, 147.957321  -36.802361, 148.185043  -37.667450)))'",Victoria,147.67999,-37.3,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03386,04866,43.85,-11.55,70.779,98.146,305.79,284.58,21.21,299.982,295.5059,4.4761,3.8795,5.937,3.4269,0.104,0.196,0.1586,1,'001000',0,123.887,0.33,1,"'MULTIPOLYGON((( 148.205399  -37.667370, 147.419296  -37.797203, 147.199509  -36.930458, 147.977020  -36.802090, 148.205399  -37.667370)))'",Victoria,147.7,-37.3,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03387,04867,43.87,-11.58,70.802,98.212,305.33,282.96,22.37,300.1014,295.9638,4.1376,3.2401,4.0809,2.6341,0.136,0.244,0.1264,1,'001000',0,129.307,0.5,1,"'MULTIPOLYGON((( 148.225983  -37.687431, 147.439499  -37.817635, 147.218933  -36.950405, 147.996826  -36.821667, 148.225983  -37.687431)))'",Victoria,147.72,-37.32,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03388,04867,43.88,-11.61,70.814,98.245,305.33,282.96,22.37,300.2061,296.2496,3.9564,2.9539,3.0763,2.2676,0.136,0.244,0.1293,1,'001000',0,129.307,0.33,1,"'MULTIPOLYGON((( 148.246323  -37.687351, 147.459778  -37.817909, 147.238571  -36.950478, 148.016525  -36.821396, 148.246323  -37.687351)))'",Victoria,147.73999,-37.32,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03387,04868,43.89,-11.58,70.826,98.278,304.5,281.28,23.22,300.0524,296.0029,4.0495,2.9899,3.5774,2.4293,0.13,0.215,0.1517,1,'001000',0,132.526,0.33,1,"'MULTIPOLYGON((( 148.226334  -37.707691, 147.439362  -37.837944, 147.218597  -36.970131, 147.996964  -36.841351, 148.226334  -37.707691)))'",Victoria,147.72,-37.34,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03388,04868,43.9,-11.61,70.838,98.311,304.5,281.28,23.22,300.1052,296.1657,3.9394,2.8059,2.9236,2.2009,0.13,0.215,0.1535,1,'001000',0,132.526,0.5,1,"'MULTIPOLYGON((( 148.246674  -37.707615, 147.459641  -37.838215, 147.238235  -36.970203, 148.016647  -36.841080, 148.246674  -37.707615)))'",Victoria,147.73999,-37.34,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03391,04868,43.91,-11.7,70.85,98.344,302.98,282.93,20.05,300.1277,296.29880000000003,3.8289,2.9291,2.7507,2.2499,0.083,0.159,0.1241,1,'001000',0,114.464,0.5,1,"'MULTIPOLYGON((( 148.307495  -37.707115, 147.520599  -37.838722, 147.297409  -36.970699, 148.075699  -36.840576, 148.307495  -37.707115)))'",Victoria,147.79999,-37.34,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03397,04868,43.93,-11.9,70.874,98.41,302.39,282.12,20.27,300.2635,296.6384,3.6252,2.8067,2.6424,2.1739,0.104,0.223,0.1245,1,'001000',0,114.896,0.33,1,"'MULTIPOLYGON((( 148.429321  -37.705963, 147.642761  -37.839813, 147.415604  -36.971832, 148.193588  -36.839497, 148.429321  -37.705963)))'",Victoria,147.92,-37.34,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03389,04869,43.92,-11.63,70.862,98.377,303.19,283.64,19.55,299.9931,295.9816,4.0115,2.6999,2.8401,2.2557,0.112,0.186,0.1402,1,'001000',0,112.129,0.5,1,"'MULTIPOLYGON((( 148.267197  -37.727745, 147.479752  -37.858608, 147.257767  -36.990078, 148.036575  -36.860695, 148.267197  -37.727745)))'",Victoria,147.76001,-37.36,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03391,04869,43.93,-11.7,70.874,98.41,302.75,283.9,18.85,299.9879,296.1152,3.8726,2.6975,2.6328,2.2752,0.09,0.169,0.0979,1,'001000',0,108.007,0.33,1,"'MULTIPOLYGON((( 148.307846  -37.727386, 147.520477  -37.859039, 147.297073  -36.990433, 148.075821  -36.860268, 148.307846  -37.727386)))'",Victoria,147.79999,-37.36,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03405,04876,44.14,-12.11,71.125,99.11,302.81,284.52,18.29,301.0073,296.7077,4.2996,1.8649,2.3629,2.2748,0.094,0.198,0.0908,1,'001000',0,105.156,0.33,1,"'MULTIPOLYGON((( 148.594376  -37.867290, 147.803909  -38.003929, 147.570663  -37.130466, 148.352417  -36.995392, 148.594376  -37.867290)))'",Victoria,148.08,-37.5,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03399,04878,44.16,-11.91,71.15,99.177,301.9,283.25,18.65,300.7667,296.6846,4.0821,1.4927,2.1046,1.9334,0.093,0.186,0.1165,1,'001000',0,106.041,0.33,1,"'MULTIPOLYGON((( 148.473236  -37.908989, 147.681473  -38.043472, 147.451797  -37.168781, 148.234787  -37.035835, 148.473236  -37.908989)))'",Victoria,147.95999,-37.54,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03399,04879,44.18,-11.9,71.174,99.245,301.9,283.25,18.65,300.9038,296.8255,4.0783,1.5806,2.0787,1.868,0.093,0.186,0.1158,1,'001000',0,106.041,0.5,1,"'MULTIPOLYGON((( 148.473511  -37.929325, 147.681229  -38.063747, 147.451538  -37.188435, 148.235031  -37.055553, 148.473511  -37.929325)))'",Victoria,147.95999,-37.56,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03409,04880,44.24,-12.22,71.246,99.447,303.8,283.52,20.28,301.2894,297.0553,4.2341,1.7899,1.9518,1.8353,0.083,0.175,0.1101,1,'001000',0,116.617,0.33,1,"'MULTIPOLYGON((( 148.676910  -37.947849, 147.884567  -38.085938, 147.648178  -37.209873, 148.431747  -37.073376, 148.676910  -37.947849)))'",Victoria,148.16,-37.57999,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 22:50:00+00','2018-01-19 23:20:51+00','Himawari-8','kn3','NC_H08_20180119_2250_R21_FLDK.06001_06001.nc',03412,04882,44.29,-12.3,71.307,99.616,303.65,281.55,22.1,301.3571,296.979,4.3781,2.1385,2.1872,1.9694,0.112,0.209,0.1167,1,'001000',0,125.741,0.33,1,"'MULTIPOLYGON((( 148.738388  -37.987957, 147.945175  -38.127041, 147.706726  -37.249756, 148.491119  -37.112274, 148.738388  -37.987957)))'",Victoria,148.22,-37.62,2018-01-19 22:50:00,2018,1,19,3,22,332
'2018-01-19 23:50:00+00','2018-01-20 00:20:49+00','Himawari-8','kn3','NC_H08_20180119_2350_R21_FLDK.06001_06001.nc',03350,04878,43.99,-10.33,70.945,98.609,304.67,284.23,20.44,302.8265,298.9938,3.8328,2.2556,1.9484,1.194,0.093,0.223,0.107,1,'001000',0,118.49,0.5,1,"'MULTIPOLYGON((( 147.478500  -37.917774, 146.684601  -38.034485, 146.486511  -37.160122, 147.271500  -37.044746, 147.478500  -37.917774)))'",Victoria,146.98,-37.54,2018-01-19 23:50:00,2018,1,19,3,23,333
'2018-01-20 05:00:00+00','2018-01-20 05:30:42+00','Himawari-8','kn3','NC_H08_20180120_0500_R21_FLDK.06001_06001.nc',03348,04833,42.99,-10.45,69.78,95.397,309.94,293.57,16.37,309.2783,303.8709,5.4074,3.4006,3.0591,1.2915,0.105,0.238,0.0946,1,'001000',0,102.088,1,1,"'MULTIPOLYGON((( 147.423721  -37.003811, 146.652618  -37.119881, 146.460831  -36.274220, 147.223831  -36.159393, 147.423721  -37.003811)))'",Victoria,146.94,-36.64,2018-01-20 05:00:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03350,04830,42.93,-10.53,69.712,95.211,310.66,290.16,20.5,309.2827,304.1237,5.159,3.4956,3.0156,1.3871,0.137,0.269,0.0743,1,'001000',0,126.196,0.5,1,"'MULTIPOLYGON((( 147.463394  -36.942501, 146.693863  -37.059326, 146.501114  -36.215523, 147.262604  -36.099945, 147.463394  -36.942501)))'",Victoria,146.98,-36.57999,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03349,04831,42.95,-10.49,69.735,95.273,310.52,291.08,19.44,309.3029,304.1006,5.2023,3.465,3.1078,1.4078,0.097,0.279,0.0994,1,'001000',0,120.123,0.83,1,"'MULTIPOLYGON((( 147.443390  -36.963032, 146.673309  -37.079460, 146.481110  -36.235001, 147.243149  -36.119820, 147.443390  -36.963032)))'",Victoria,146.95999,-36.6,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03349,04832,42.97,-10.49,69.758,95.335,310.52,291.08,19.44,309.2118,304.0432,5.1686,3.4682,3.1148,1.4072,0.097,0.279,0.1011,1,'001000',0,120.123,1,1,"'MULTIPOLYGON((( 147.443710  -36.983280, 146.673172  -37.099747, 146.480804  -36.254742, 147.243286  -36.139523, 147.443710  -36.983280)))'",Victoria,146.95999,-36.62,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03349,04833,42.99,-10.48,69.78,95.397,310.29,287.3,22.99,309.0395,303.8979,5.1417,3.5027,3.1827,1.4451,0.131,0.276,0.1105,1,'001000',0,139.298,1,1,"'MULTIPOLYGON((( 147.443939  -37.003605, 146.672928  -37.120003, 146.480576  -36.274426, 147.243515  -36.159275, 147.443939  -37.003605)))'",Victoria,146.95999,-36.64,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03349,04834,43.02,-10.48,69.815,95.49,309.87,282.33,27.54,308.8413,303.7285,5.1128,3.5117,3.2037,1.4777,0.154,0.279,0.0885,1,'001000',0,162.503,1,1,"'MULTIPOLYGON((( 147.444351  -37.023983, 146.672760  -37.140438, 146.480179  -36.294037, 147.243683  -36.178829, 147.444351  -37.023983)))'",Victoria,146.95999,-36.66,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03349,04835,43.04,-10.47,69.837,95.553,309.26,284.35,24.91,308.5471,303.4582,5.089,3.3712,3.1433,1.5068,0.142,0.248,0.0734,1,'001000',0,147.977,0.83,1,"'MULTIPOLYGON((( 147.444595  -37.044312, 146.672516  -37.160694, 146.479950  -36.313717, 147.243912  -36.198582, 147.444595  -37.044312)))'",Victoria,146.95999,-36.68,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03349,04836,43.06,-10.47,69.86,95.615,309.26,284.35,24.91,308.2482,303.2247,5.0235,3.2472,3.0335,1.4972,0.142,0.248,0.0775,1,'001000',0,147.977,0.5,1,"'MULTIPOLYGON((( 147.444916  -37.064560, 146.672379  -37.180984, 146.479645  -36.333454, 147.244049  -36.218285, 147.444916  -37.064560)))'",Victoria,146.95999,-36.7,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:10:00+00','2018-01-20 05:40:42+00','Himawari-8','kn3','NC_H08_20180120_0510_R21_FLDK.06001_06001.nc',03347,04837,43.08,-10.4,69.883,95.677,311.43,291.43,20,308.2098,302.9286,5.2813,3.2102,3.1819,1.5515,0.161,0.298,0.0817,1,'001000',0,124.368,0.83,1,"'MULTIPOLYGON((( 147.404694  -37.085297, 146.631516  -37.200996, 146.439896  -36.352730, 147.204910  -36.238274, 147.404694  -37.085297)))'",Victoria,146.92,-36.72,2018-01-20 05:10:00,2018,1,20,3,5,338
'2018-01-20 05:20:00+00','2018-01-20 05:50:42+00','Himawari-8','kn3','NC_H08_20180120_0520_R21_FLDK.06001_06001.nc',03347,04830,42.92,-10.43,69.701,95.18,312.61,289.29,23.32,309.386,304.0931,5.2929,3.6585,3.2714,1.3697,0.16,0.301,0.0955,1,'001000',0,144.379,0.67,1,"'MULTIPOLYGON((( 147.402512  -36.943054, 146.632858  -37.058777, 146.442001  -36.214977, 147.203613  -36.100491, 147.402512  -36.943054)))'",Victoria,146.92,-36.57999,2018-01-20 05:20:00,2018,1,20,3,5,338
'2018-01-20 05:20:00+00','2018-01-20 05:50:42+00','Himawari-8','kn3','NC_H08_20180120_0520_R21_FLDK.06001_06001.nc',03347,04831,42.94,-10.43,69.724,95.242,311.87,284.7,27.17,309.1396,303.8714,5.2682,3.7055,3.3737,1.4039,0.181,0.322,0.1192,1,'001000',0,163.88,0.5,1,"'MULTIPOLYGON((( 147.402832  -36.963310, 146.632721  -37.079071, 146.441696  -36.234726, 147.203751  -36.120205, 147.402832  -36.963310)))'",Victoria,146.92,-36.6,2018-01-20 05:20:00,2018,1,20,3,5,338
'2018-01-20 05:20:00+00','2018-01-20 05:50:42+00','Himawari-8','kn3','NC_H08_20180120_0520_R21_FLDK.06001_06001.nc',03348,04831,42.95,-10.46,69.735,95.273,311.87,284.7,27.17,309.1785,303.9517,5.2268,3.6612,3.276,1.4307,0.181,0.322,0.1198,1,'001000',0,163.88,0.83,1,"'MULTIPOLYGON((( 147.423157  -36.963234, 146.653000  -37.079338, 146.461365  -36.234798, 147.223465  -36.119938, 147.423157  -36.963234)))'",Victoria,146.94,-36.6,2018-01-20 05:20:00,2018,1,20,3,5,338
'2018-01-20 05:20:00+00','2018-01-20 05:50:42+00','Himawari-8','kn3','NC_H08_20180120_0520_R21_FLDK.06001_06001.nc',03350,04831,42.95,-10.53,69.735,95.273,309.35,285.75,23.6,309.1622,304.1054,5.0567,3.4769,2.9908,1.4123000000000001,0.139,0.241,0.0854,1,'001000',0,141.227,0.5,1,"'MULTIPOLYGON((( 147.463699  -36.962757, 146.693726  -37.079620, 146.500809  -36.235271, 147.262741  -36.119659, 147.463699  -36.962757)))'",Victoria,146.98,-36.6,2018-01-20 05:20:00,2018,1,20,3,5,338
'2018-01-20 05:20:00+00','2018-01-20 05:50:42+00','Himawari-8','kn3','NC_H08_20180120_0520_R21_FLDK.06001_06001.nc',03347,04832,42.97,-10.42,69.758,95.335,311.87,284.7,27.17,308.9739,303.6642,5.3097,3.7247,3.463,1.433,0.181,0.322,0.1191,1,'001000',0,163.88,0.67,1,"'MULTIPOLYGON((( 147.403152  -36.983757, 146.632446  -37.099464, 146.441360  -36.254272, 147.204010  -36.139801, 147.403152  -36.983757)))'",Victoria,146.92,-36.62,2018-01-20 05:20:00,2018,1,20,3,5,338
